Year,Time,Home Team,Home Score,Away Score,Away Team,Odd 1,Odd X,Odd 2
2021,21:30,America MG,2,0,Sao Paulo,2.00,3.32,3.98
2021,21:30,Atletico GO,2,0,Flamengo RJ,1.72,3.89,4.57
2021,21:30,Bragantino,1,0,Internacional,1.90,3.65,4.01
2021,21:30,Juventude,1,0,Corinthians,2.25,3.10,3.52
2021,21:30,Fluminense,3,0,Chapecoense-SC,1.19,6.62,15.82
2021,21:30,Fortaleza,2,1,Bahia,2.49,3.23,2.92
2021,21:30,Gremio,4,3,Atletico-MG,1.53,4.37,5.75
2021,21:30,Palmeiras,1,0,Ceara,4.06,3.75,1.85
2021,21:30,Santos,1,1,Cuiaba,2.08,3.04,4.11
2021,21:30,Sport Recife,1,1,Athletico-PR,1.71,3.59,5.27
2021,21:00,Chapecoense-SC,0,1,Sport Recife,3.02,3.11,2.48
2021,20:00,Cuiaba,1,0,Fortaleza,2.10,3.08,3.92
2021,20:00,Flamengo RJ,0,1,Santos,1.52,4.56,5.80
2021,20:00,Internacional,1,2,Atletico GO,1.55,4.00,6.16
2021,19:00,Athletico-PR,0,0,Palmeiras,1.42,4.45,7.86
2021,19:00,Sao Paulo,3,1,Juventude,1.63,3.58,6.14
2021,19:00,Ceara,0,0,America MG,2.13,3.21,3.66
2021,16:00,Atletico-MG,4,3,Bragantino,1.95,3.43,4.04
2021,16:00,Bahia,2,0,Fluminense,2.04,3.18,3.99
2021,16:00,Corinthians,1,1,Gremio,2.26,3.35,3.17
2021,21:00,Fortaleza,1,0,Juventude,1.71,3.53,5.27
2021,20:00,Chapecoense-SC,0,1,Atletico GO,3.73,3.21,2.10
2021,20:00,Sport Recife,1,1,Flamengo RJ,4.73,3.81,1.72
2021,19:00,Athletico-PR,1,0,Cuiaba,1.73,3.22,5.98
2021,20:00,Gremio,3,0,Sao Paulo,2.19,3.19,3.49
2021,18:00,Bahia,2,3,Atletico-MG,4.19,3.20,1.99
2021,22:00,Cuiaba,1,3,Palmeiras,1.74,3.49,5.13
2021,21:00,America MG,3,0,Chapecoense-SC,1.27,5.53,11.36
2021,20:00,Flamengo RJ,2,1,Ceara,1.43,4.59,7.06
2021,19:00,Juventude,1,0,Bragantino,2.43,2.99,3.25
2021,19:00,Atletico GO,2,1,Bahia,2.54,3.04,3.01
2021,19:00,Internacional,1,1,Santos,1.58,3.92,6.13
2021,16:00,Atletico-MG,2,1,Fluminense,1.38,4.63,9.08
2021,16:00,Corinthians,1,0,Athletico-PR,1.99,3.12,4.30
2021,21:30,Sao Paulo,2,0,Sport Recife,1.49,4.09,7.18
2021,19:30,Bragantino,1,1,America MG,1.96,3.41,4.10
2021,19:00,Bahia,3,1,Gremio,2.59,3.12,2.89
2021,20:00,Ceara,2,1,Corinthians,2.36,3.09,3.30
2021,19:00,Santos,2,0,Fortaleza,2.78,2.98,2.82
2021,21:30,Fluminense,1,0,Internacional,2.39,3.04,3.26
2021,21:30,Sao Paulo,0,0,Athletico-PR,1.84,3.26,4.85
2021,21:30,Palmeiras,2,2,Atletico-MG,4.64,3.58,1.79
2021,21:00,Gremio,2,2,Flamengo RJ,2.03,3.56,3.55
2021,19:00,Atletico GO,1,1,Juventude,2.13,3.02,3.97
2021,19:00,Bahia,0,0,Cuiaba,1.85,3.31,4.67
2021,17:00,Fluminense,2,0,America MG,2.17,3.16,3.61
2021,16:00,Corinthians,2,0,Santos,1.74,3.35,5.67
2021,21:30,Internacional,1,2,Flamengo RJ,3.89,3.44,2.00
2021,21:00,Atletico GO,1,1,Ceara,2.28,3.14,3.38
2021,19:00,Atletico-MG,2,0,Juventude,1.32,5.06,10.13
2021,21:30,America MG,2,0,Sao Paulo,2.00,3.32,3.98
2021,21:30,Atletico GO,2,0,Flamengo RJ,1.72,3.89,4.57
2021,21:30,Bragantino,1,0,Internacional,1.90,3.65,4.01
2021,21:30,Juventude,1,0,Corinthians,2.25,3.10,3.52
2021,21:30,Fluminense,3,0,Chapecoense-SC,1.19,6.62,15.82
2021,21:30,Fortaleza,2,1,Bahia,2.49,3.23,2.92
2021,21:30,Gremio,4,3,Atletico-MG,1.53,4.37,5.75
2021,21:30,Palmeiras,1,0,Ceara,4.06,3.75,1.85
2021,21:30,Santos,1,1,Cuiaba,2.08,3.04,4.11
2021,21:30,Sport Recife,1,1,Athletico-PR,1.71,3.59,5.27
2021,21:00,Chapecoense-SC,0,1,Sport Recife,3.02,3.11,2.48
2021,20:00,Cuiaba,1,0,Fortaleza,2.10,3.08,3.92
2021,20:00,Flamengo RJ,0,1,Santos,1.52,4.56,5.80
2021,20:00,Internacional,1,2,Atletico GO,1.55,4.00,6.16
2021,19:00,Athletico-PR,0,0,Palmeiras,1.42,4.45,7.86
2021,19:00,Sao Paulo,3,1,Juventude,1.63,3.58,6.14
2021,19:00,Ceara,0,0,America MG,2.13,3.21,3.66
2021,16:00,Atletico-MG,4,3,Bragantino,1.95,3.43,4.04
2021,16:00,Bahia,2,0,Fluminense,2.04,3.18,3.99
2021,16:00,Corinthians,1,1,Gremio,2.26,3.35,3.17
2021,21:00,Fortaleza,1,0,Juventude,1.71,3.53,5.27
2021,20:00,Chapecoense-SC,0,1,Atletico GO,3.73,3.21,2.10
2021,20:00,Sport Recife,1,1,Flamengo RJ,4.73,3.81,1.72
2021,19:00,Athletico-PR,1,0,Cuiaba,1.73,3.22,5.98
2021,20:00,Gremio,3,0,Sao Paulo,2.19,3.19,3.49
2021,18:00,Bahia,2,3,Atletico-MG,4.19,3.20,1.99
2021,22:00,Cuiaba,1,3,Palmeiras,1.74,3.49,5.13
2021,21:00,America MG,3,0,Chapecoense-SC,1.27,5.53,11.36
2021,20:00,Flamengo RJ,2,1,Ceara,1.43,4.59,7.06
2021,19:00,Juventude,1,0,Bragantino,2.43,2.99,3.25
2021,19:00,Atletico GO,2,1,Bahia,2.54,3.04,3.01
2021,19:00,Internacional,1,1,Santos,1.58,3.92,6.13
2021,16:00,Atletico-MG,2,1,Fluminense,1.38,4.63,9.08
2021,16:00,Corinthians,1,0,Athletico-PR,1.99,3.12,4.30
2021,21:30,Sao Paulo,2,0,Sport Recife,1.49,4.09,7.18
2021,19:30,Bragantino,1,1,America MG,1.96,3.41,4.10
2021,19:00,Bahia,3,1,Gremio,2.59,3.12,2.89
2021,20:00,Ceara,2,1,Corinthians,2.36,3.09,3.30
2021,19:00,Santos,2,0,Fortaleza,2.78,2.98,2.82
2021,21:30,Fluminense,1,0,Internacional,2.39,3.04,3.26
2021,21:30,Sao Paulo,0,0,Athletico-PR,1.84,3.26,4.85
2021,21:30,Palmeiras,2,2,Atletico-MG,4.64,3.58,1.79
2021,21:00,Gremio,2,2,Flamengo RJ,2.03,3.56,3.55
2021,19:00,Atletico GO,1,1,Juventude,2.13,3.02,3.97
2021,19:00,Bahia,0,0,Cuiaba,1.85,3.31,4.67
2021,17:00,Fluminense,2,0,America MG,2.17,3.16,3.61
2021,16:00,Corinthians,2,0,Santos,1.74,3.35,5.67
2021,21:30,Internacional,1,2,Flamengo RJ,3.89,3.44,2.00
2021,21:00,Atletico GO,1,1,Ceara,2.28,3.14,3.38
2021,19:00,Atletico-MG,2,0,Juventude,1.32,5.06,10.13
2021,21:30,America MG,2,0,Sao Paulo,2.00,3.32,3.98
2021,21:30,Atletico GO,2,0,Flamengo RJ,1.72,3.89,4.57
2021,21:30,Bragantino,1,0,Internacional,1.90,3.65,4.01
2021,21:30,Juventude,1,0,Corinthians,2.25,3.10,3.52
2021,21:30,Fluminense,3,0,Chapecoense-SC,1.19,6.62,15.82
2021,21:30,Fortaleza,2,1,Bahia,2.49,3.23,2.92
2021,21:30,Gremio,4,3,Atletico-MG,1.53,4.37,5.75
2021,21:30,Palmeiras,1,0,Ceara,4.06,3.75,1.85
2021,21:30,Santos,1,1,Cuiaba,2.08,3.04,4.11
2021,21:30,Sport Recife,1,1,Athletico-PR,1.71,3.59,5.27
2021,21:00,Chapecoense-SC,0,1,Sport Recife,3.02,3.11,2.48
2021,20:00,Cuiaba,1,0,Fortaleza,2.10,3.08,3.92
2021,20:00,Flamengo RJ,0,1,Santos,1.52,4.56,5.80
2021,20:00,Internacional,1,2,Atletico GO,1.55,4.00,6.16
2021,19:00,Athletico-PR,0,0,Palmeiras,1.42,4.45,7.86
2021,19:00,Sao Paulo,3,1,Juventude,1.63,3.58,6.14
2021,19:00,Ceara,0,0,America MG,2.13,3.21,3.66
2021,16:00,Atletico-MG,4,3,Bragantino,1.95,3.43,4.04
2021,16:00,Bahia,2,0,Fluminense,2.04,3.18,3.99
2021,16:00,Corinthians,1,1,Gremio,2.26,3.35,3.17
2021,21:00,Fortaleza,1,0,Juventude,1.71,3.53,5.27
2021,20:00,Chapecoense-SC,0,1,Atletico GO,3.73,3.21,2.10
2021,20:00,Sport Recife,1,1,Flamengo RJ,4.73,3.81,1.72
2021,19:00,Athletico-PR,1,0,Cuiaba,1.73,3.22,5.98
2021,20:00,Gremio,3,0,Sao Paulo,2.19,3.19,3.49
2021,18:00,Bahia,2,3,Atletico-MG,4.19,3.20,1.99
2021,22:00,Cuiaba,1,3,Palmeiras,1.74,3.49,5.13
2021,21:00,America MG,3,0,Chapecoense-SC,1.27,5.53,11.36
2021,20:00,Flamengo RJ,2,1,Ceara,1.43,4.59,7.06
2021,19:00,Juventude,1,0,Bragantino,2.43,2.99,3.25
2021,19:00,Atletico GO,2,1,Bahia,2.54,3.04,3.01
2021,19:00,Internacional,1,1,Santos,1.58,3.92,6.13
2021,16:00,Atletico-MG,2,1,Fluminense,1.38,4.63,9.08
2021,16:00,Corinthians,1,0,Athletico-PR,1.99,3.12,4.30
2021,21:30,Sao Paulo,2,0,Sport Recife,1.49,4.09,7.18
2021,19:30,Bragantino,1,1,America MG,1.96,3.41,4.10
2021,19:00,Bahia,3,1,Gremio,2.59,3.12,2.89
2021,20:00,Ceara,2,1,Corinthians,2.36,3.09,3.30
2021,19:00,Santos,2,0,Fortaleza,2.78,2.98,2.82
2021,21:30,Fluminense,1,0,Internacional,2.39,3.04,3.26
2021,21:30,Sao Paulo,0,0,Athletico-PR,1.84,3.26,4.85
2021,21:30,Palmeiras,2,2,Atletico-MG,4.64,3.58,1.79
2021,21:00,Gremio,2,2,Flamengo RJ,2.03,3.56,3.55
2021,19:00,Atletico GO,1,1,Juventude,2.13,3.02,3.97
2021,19:00,Bahia,0,0,Cuiaba,1.85,3.31,4.67
2021,17:00,Fluminense,2,0,America MG,2.17,3.16,3.61
2021,16:00,Corinthians,2,0,Santos,1.74,3.35,5.67
2021,21:30,Internacional,1,2,Flamengo RJ,3.89,3.44,2.00
2021,21:00,Atletico GO,1,1,Ceara,2.28,3.14,3.38
2021,19:00,Atletico-MG,2,0,Juventude,1.32,5.06,10.13
2021,21:30,America MG,2,0,Sao Paulo,2.00,3.32,3.98
2021,21:30,Atletico GO,2,0,Flamengo RJ,1.72,3.89,4.57
2021,21:30,Bragantino,1,0,Internacional,1.90,3.65,4.01
2021,21:30,Juventude,1,0,Corinthians,2.25,3.10,3.52
2021,21:30,Fluminense,3,0,Chapecoense-SC,1.19,6.62,15.82
2021,21:30,Fortaleza,2,1,Bahia,2.49,3.23,2.92
2021,21:30,Gremio,4,3,Atletico-MG,1.53,4.37,5.75
2021,21:30,Palmeiras,1,0,Ceara,4.06,3.75,1.85
2021,21:30,Santos,1,1,Cuiaba,2.08,3.04,4.11
2021,21:30,Sport Recife,1,1,Athletico-PR,1.71,3.59,5.27
2021,21:00,Chapecoense-SC,0,1,Sport Recife,3.02,3.11,2.48
2021,20:00,Cuiaba,1,0,Fortaleza,2.10,3.08,3.92
2021,20:00,Flamengo RJ,0,1,Santos,1.52,4.56,5.80
2021,20:00,Internacional,1,2,Atletico GO,1.55,4.00,6.16
2021,19:00,Athletico-PR,0,0,Palmeiras,1.42,4.45,7.86
2021,19:00,Sao Paulo,3,1,Juventude,1.63,3.58,6.14
2021,19:00,Ceara,0,0,America MG,2.13,3.21,3.66
2021,16:00,Atletico-MG,4,3,Bragantino,1.95,3.43,4.04
2021,16:00,Bahia,2,0,Fluminense,2.04,3.18,3.99
2021,16:00,Corinthians,1,1,Gremio,2.26,3.35,3.17
2021,21:00,Fortaleza,1,0,Juventude,1.71,3.53,5.27
2021,20:00,Chapecoense-SC,0,1,Atletico GO,3.73,3.21,2.10
2021,20:00,Sport Recife,1,1,Flamengo RJ,4.73,3.81,1.72
2021,19:00,Athletico-PR,1,0,Cuiaba,1.73,3.22,5.98
2021,20:00,Gremio,3,0,Sao Paulo,2.19,3.19,3.49
2021,18:00,Bahia,2,3,Atletico-MG,4.19,3.20,1.99
2021,22:00,Cuiaba,1,3,Palmeiras,1.74,3.49,5.13
2021,21:00,America MG,3,0,Chapecoense-SC,1.27,5.53,11.36
2021,20:00,Flamengo RJ,2,1,Ceara,1.43,4.59,7.06
2021,19:00,Juventude,1,0,Bragantino,2.43,2.99,3.25
2021,19:00,Atletico GO,2,1,Bahia,2.54,3.04,3.01
2021,19:00,Internacional,1,1,Santos,1.58,3.92,6.13
2021,16:00,Atletico-MG,2,1,Fluminense,1.38,4.63,9.08
2021,16:00,Corinthians,1,0,Athletico-PR,1.99,3.12,4.30
2021,21:30,Sao Paulo,2,0,Sport Recife,1.49,4.09,7.18
2021,19:30,Bragantino,1,1,America MG,1.96,3.41,4.10
2021,19:00,Bahia,3,1,Gremio,2.59,3.12,2.89
2021,20:00,Ceara,2,1,Corinthians,2.36,3.09,3.30
2021,19:00,Santos,2,0,Fortaleza,2.78,2.98,2.82
2021,21:30,Fluminense,1,0,Internacional,2.39,3.04,3.26
2021,21:30,Sao Paulo,0,0,Athletico-PR,1.84,3.26,4.85
2021,21:30,Palmeiras,2,2,Atletico-MG,4.64,3.58,1.79
2021,21:00,Gremio,2,2,Flamengo RJ,2.03,3.56,3.55
2021,19:00,Atletico GO,1,1,Juventude,2.13,3.02,3.97
2021,19:00,Bahia,0,0,Cuiaba,1.85,3.31,4.67
2021,17:00,Fluminense,2,0,America MG,2.17,3.16,3.61
2021,16:00,Corinthians,2,0,Santos,1.74,3.35,5.67
2021,21:30,Internacional,1,2,Flamengo RJ,3.89,3.44,2.00
2021,21:00,Atletico GO,1,1,Ceara,2.28,3.14,3.38
2021,19:00,Atletico-MG,2,0,Juventude,1.32,5.06,10.13
2021,21:30,America MG,2,0,Sao Paulo,2.00,3.32,3.98
2021,21:30,Atletico GO,2,0,Flamengo RJ,1.72,3.89,4.57
2021,21:30,Bragantino,1,0,Internacional,1.90,3.65,4.01
2021,21:30,Juventude,1,0,Corinthians,2.25,3.10,3.52
2021,21:30,Fluminense,3,0,Chapecoense-SC,1.19,6.62,15.82
2021,21:30,Fortaleza,2,1,Bahia,2.49,3.23,2.92
2021,21:30,Gremio,4,3,Atletico-MG,1.53,4.37,5.75
2021,21:30,Palmeiras,1,0,Ceara,4.06,3.75,1.85
2021,21:30,Santos,1,1,Cuiaba,2.08,3.04,4.11
2021,21:30,Sport Recife,1,1,Athletico-PR,1.71,3.59,5.27
2021,21:00,Chapecoense-SC,0,1,Sport Recife,3.02,3.11,2.48
2021,20:00,Cuiaba,1,0,Fortaleza,2.10,3.08,3.92
2021,20:00,Flamengo RJ,0,1,Santos,1.52,4.56,5.80
2021,20:00,Internacional,1,2,Atletico GO,1.55,4.00,6.16
2021,19:00,Athletico-PR,0,0,Palmeiras,1.42,4.45,7.86
2021,19:00,Sao Paulo,3,1,Juventude,1.63,3.58,6.14
2021,19:00,Ceara,0,0,America MG,2.13,3.21,3.66
2021,16:00,Atletico-MG,4,3,Bragantino,1.95,3.43,4.04
2021,16:00,Bahia,2,0,Fluminense,2.04,3.18,3.99
2021,16:00,Corinthians,1,1,Gremio,2.26,3.35,3.17
2021,21:00,Fortaleza,1,0,Juventude,1.71,3.53,5.27
2021,20:00,Chapecoense-SC,0,1,Atletico GO,3.73,3.21,2.10
2021,20:00,Sport Recife,1,1,Flamengo RJ,4.73,3.81,1.72
2021,19:00,Athletico-PR,1,0,Cuiaba,1.73,3.22,5.98
2021,20:00,Gremio,3,0,Sao Paulo,2.19,3.19,3.49
2021,18:00,Bahia,2,3,Atletico-MG,4.19,3.20,1.99
2021,22:00,Cuiaba,1,3,Palmeiras,1.74,3.49,5.13
2021,21:00,America MG,3,0,Chapecoense-SC,1.27,5.53,11.36
2021,20:00,Flamengo RJ,2,1,Ceara,1.43,4.59,7.06
2021,19:00,Juventude,1,0,Bragantino,2.43,2.99,3.25
2021,19:00,Atletico GO,2,1,Bahia,2.54,3.04,3.01
2021,19:00,Internacional,1,1,Santos,1.58,3.92,6.13
2021,16:00,Atletico-MG,2,1,Fluminense,1.38,4.63,9.08
2021,16:00,Corinthians,1,0,Athletico-PR,1.99,3.12,4.30
2021,21:30,Sao Paulo,2,0,Sport Recife,1.49,4.09,7.18
2021,19:30,Bragantino,1,1,America MG,1.96,3.41,4.10
2021,19:00,Bahia,3,1,Gremio,2.59,3.12,2.89
2021,20:00,Ceara,2,1,Corinthians,2.36,3.09,3.30
2021,19:00,Santos,2,0,Fortaleza,2.78,2.98,2.82
2021,21:30,Fluminense,1,0,Internacional,2.39,3.04,3.26
2021,21:30,Sao Paulo,0,0,Athletico-PR,1.84,3.26,4.85
2021,21:30,Palmeiras,2,2,Atletico-MG,4.64,3.58,1.79
2021,21:00,Gremio,2,2,Flamengo RJ,2.03,3.56,3.55
2021,19:00,Atletico GO,1,1,Juventude,2.13,3.02,3.97
2021,19:00,Bahia,0,0,Cuiaba,1.85,3.31,4.67
2021,17:00,Fluminense,2,0,America MG,2.17,3.16,3.61
2021,16:00,Corinthians,2,0,Santos,1.74,3.35,5.67
2021,21:30,Internacional,1,2,Flamengo RJ,3.89,3.44,2.00
2021,21:00,Atletico GO,1,1,Ceara,2.28,3.14,3.38
2021,19:00,Atletico-MG,2,0,Juventude,1.32,5.06,10.13
2021,21:30,America MG,2,0,Sao Paulo,2.00,3.32,3.98
2021,21:30,Atletico GO,2,0,Flamengo RJ,1.72,3.89,4.57
2021,21:30,Bragantino,1,0,Internacional,1.90,3.65,4.01
2021,21:30,Juventude,1,0,Corinthians,2.25,3.10,3.52
2021,21:30,Fluminense,3,0,Chapecoense-SC,1.19,6.62,15.82
2021,21:30,Fortaleza,2,1,Bahia,2.49,3.23,2.92
2021,21:30,Gremio,4,3,Atletico-MG,1.53,4.37,5.75
2021,21:30,Palmeiras,1,0,Ceara,4.06,3.75,1.85
2021,21:30,Santos,1,1,Cuiaba,2.08,3.04,4.11
2021,21:30,Sport Recife,1,1,Athletico-PR,1.71,3.59,5.27
2021,21:00,Chapecoense-SC,0,1,Sport Recife,3.02,3.11,2.48
2021,20:00,Cuiaba,1,0,Fortaleza,2.10,3.08,3.92
2021,20:00,Flamengo RJ,0,1,Santos,1.52,4.56,5.80
2021,20:00,Internacional,1,2,Atletico GO,1.55,4.00,6.16
2021,19:00,Athletico-PR,0,0,Palmeiras,1.42,4.45,7.86
2021,19:00,Sao Paulo,3,1,Juventude,1.63,3.58,6.14
2021,19:00,Ceara,0,0,America MG,2.13,3.21,3.66
2021,16:00,Atletico-MG,4,3,Bragantino,1.95,3.43,4.04
2021,16:00,Bahia,2,0,Fluminense,2.04,3.18,3.99
2021,16:00,Corinthians,1,1,Gremio,2.26,3.35,3.17
2021,21:00,Fortaleza,1,0,Juventude,1.71,3.53,5.27
2021,20:00,Chapecoense-SC,0,1,Atletico GO,3.73,3.21,2.10
2021,20:00,Sport Recife,1,1,Flamengo RJ,4.73,3.81,1.72
2021,19:00,Athletico-PR,1,0,Cuiaba,1.73,3.22,5.98
2021,20:00,Gremio,3,0,Sao Paulo,2.19,3.19,3.49
2021,18:00,Bahia,2,3,Atletico-MG,4.19,3.20,1.99
2021,22:00,Cuiaba,1,3,Palmeiras,1.74,3.49,5.13
2021,21:00,America MG,3,0,Chapecoense-SC,1.27,5.53,11.36
2021,20:00,Flamengo RJ,2,1,Ceara,1.43,4.59,7.06
2021,19:00,Juventude,1,0,Bragantino,2.43,2.99,3.25
2021,19:00,Atletico GO,2,1,Bahia,2.54,3.04,3.01
2021,19:00,Internacional,1,1,Santos,1.58,3.92,6.13
2021,16:00,Atletico-MG,2,1,Fluminense,1.38,4.63,9.08
2021,16:00,Corinthians,1,0,Athletico-PR,1.99,3.12,4.30
